$Version=1
$FileExt=.rx2
$RootPath=Data\Patches\Packs\Loops\
$FilePath=Data\Patches\Packs\Loops\
$Alternative=SliceX|Fruity Slicer
$Caption=Loops
$Format=112


;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink|MainItemName
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_17|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_18|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_19|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_1|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_20|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_21|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_22|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_23|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_24|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_2|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkBot_31|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_31|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_3|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_4|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_5|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_6|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_7|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_8|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(1)|AW_125_FunkBot_9|38|21885|82201|1||125bpm(1)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_FunkRobotz_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_Gazelle_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_Harboured_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_Impulzed_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_Impulzed_2|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_Impulzed_3|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_Impulzed_4|58|24243|82201|1||125bpm(2)
